附表3:系统功能点计数表,,,,,,,,,,,,,
序号,子系统,一级功能模块,功能模块名称,事务事项编号及名称,功能名称,数据类型,是否计算,,调整复用度后的分值,复用度,,是否实现,
154,,,,,联邦分析对接主流公有云平台,EIF,7,1,2.33 ,1,,否,数据安全
155,,,,,联邦分析日志记录,EO,5,1,1.67 ,1,,否,数据安全
156,,,,,联邦分析日志导出,EQ,4,1,1.33 ,1,,否,数据安全
157,,,,,联邦分析字符类型函数,ILF,10,1,3.33 ,1,,否,数据安全
158,,,,,联邦分析日期类型函数,ILF,10,1,3.33 ,1,,否,数据安全
159,,,,,联邦分析时间戳类型函数,ILF,10,1,3.33 ,1,,否,数据安全
160,,,,,联邦分析 SQL 格式化,EO,5,1,1.67 ,1,,否,数据安全
161,,,,,联邦分析浮点类型函数,ILF,10,1,3.33 ,1,,否,数据安全
162,,,联邦学习功能,,联邦学习数据融合,ILF,10,1,3.33 ,1,,否,数据安全
163,,,,,联邦学习预处理,ILF,10,1,3.33 ,1,,否,数据安全
164,,,,,联邦学习特征相似度分析,EO,5,1,1.67 ,1,,否,数据安全
165,,,,,联邦学习特征编码,EI,4,1,1.33 ,1,,否,数据安全
166,,,,,联邦学习特征对齐,EI,4,1,1.33 ,1,,否,数据安全
167,,,,,联邦学习特征分享,EI,4,1,1.33 ,1,,否,数据安全
168,,,,,联邦学习特征填充,EI,4,1,1.33 ,1,,否,数据安全
169,,,,,联邦学习样本列扩展,EI,4,1,1.33 ,1,,否,数据安全
170,,,,,联邦学习样本加权,EI,4,1,1.33 ,1,,否,数据安全
171,,,,,联邦学习指标建模分析,EO,5,1,1.67 ,1,,否,数据安全
172,,,,,联邦学习特征装仓,EI,4,1,1.33 ,1,,否,数据安全
173,,,,,联邦学习数据分割,EI,4,1,1.33 ,1,,否,数据安全
174,,,,,联邦学习数据转换,EI,4,1,1.33 ,1,,否,数据安全
175,,,,,联邦学习线性回归建模（纵向）,ILF,10,1,3.33 ,1,,否,数据安全
176,,,,,联邦学习逻辑回归建模（纵向）,ILF,10,1,3.33 ,1,,否,数据安全
177,,,,,联邦学习XGBoost建模（纵向）,ILF,10,1,3.33 ,1,,否,数据安全
178,,,,,联邦学习线性回归预测（纵向）,ILF,10,1,3.33 ,1,,否,数据安全
179,,,,,联邦学习逻辑回归预测（纵向）,ILF,10,1,3.33 ,1,,否,数据安全
180,,,,,联邦学习XGBoost预测（纵向）,ILF,10,1,3.33 ,1,,否,数据安全
181,,,,,联邦学习模型评估,ILF,10,1,3.33 ,1,,否,数据安全
182,,,,,联邦学习模型预览,EQ,4,1,1.33 ,1,,否,数据安全
183,,,,,联邦学习模型导入,EI,4,1,1.33 ,1,,否,数据安全
184,,,,,联邦学习模型导出,EQ,4,1,1.33 ,1,,否,数据安全
185,,,,,联邦建模工作台,ILF,10,1,3.33 ,1,,否,数据安全
186,,,,,联邦建模参数调优,ILF,10,1,3.33 ,1,,否,数据安全
187,,,,,联邦建模训练迭代,EI,4,1,1.33 ,1,,否,数据安全
188,,,,,联邦建模训练报告,EI,4,1,1.33 ,1,,否,数据安全
189,,,,,联邦学习日志记录,EI,4,1,1.33 ,1,,否,数据安全
190,,,,,联邦学习日志导出,EO,5,1,1.67 ,1,,否,数据安全
191,,,,,单方数据合并模块,ILF,10,1,3.33 ,1,,否,数据安全
192,,,,,单方数据统计,EO,5,1,1.67 ,1,,否,数据安全
193,,,,,单方数据清洗,EO,5,1,1.67 ,1,,否,数据安全
194,,,,,单方数据缩放,EO,5,1,1.67 ,1,,否,数据安全
195,,,,,单方特征编码,EO,5,1,1.67 ,1,,否,数据安全
196,,,,,单方特征分箱,EO,5,1,1.67 ,1,,否,数据安全
197,,,,,单方特征筛选,EO,5,1,1.67 ,1,,否,数据安全
198,,,,,单方特征衍生,EO,5,1,1.67 ,1,,否,数据安全
199,,,,,单方机器学习LR算法,ILF,10,1,3.33 ,1,,否,数据安全
200,,,,,单方机器学习XGB算法,ILF,10,1,3.33 ,1,,否,数据安全
201,,,,,单方python脚本处理,ILF,10,1,3.33 ,1,,否,数据安全
202,,,,,单方sql处理,ILF,10,1,3.33 ,1,,否,数据安全
203,,,,,单方学习日志记录,EI,4,1,1.33 ,1,,否,数据安全
204,,,,,单方学习日志导出,EO,5,1,1.67 ,1,,否,数据安全
205,,,场景定制化一,,警务数据交集数据融合,ILF,10,1,3.33 ,1,,否,数据安全
206,,,,,保险机构接口对接,EIF,7,1,2.33 ,1,,否,数据安全
207,,,,,保险机构同态密钥创建,EI,4,1,1.33 ,1,,否,数据安全
208,,,,,保险机构模型同态加密,EI,4,1,1.33 ,1,,否,数据安全
209,,,,,加密模型联合运算,EO,5,1,1.67 ,1,,否,数据安全
210,,,,,保险机构数据解密,EI,4,1,1.33 ,1,,否,数据安全
211,,,,,警务数据对接,EIF,7,1,2.33 ,1,,否,数据安全
212,,,,,模型密文数据安全交换（批量）,EIF,7,1,2.33 ,1,,否,数据安全
213,,,,,流程执行日志记录,EI,4,1,1.33 ,1,,否,数据安全
214,,,,,流程执行日志导出,EO,5,1,1.67 ,1,,否,数据安全
215,,,场景定制化二,,电子证件特征转换,EI,4,1,1.33 ,1,,否,数据安全
216,,,,,现场证件特征转换,EI,4,1,1.33 ,1,,否,数据安全
217,,,,,特征数据隐私比对,EO,5,1,1.67 ,1,,否,数据安全
218,,,,,警务数据对接,EIF,7,1,2.33 ,1,,否,数据安全
219,,,,,使用机构数据接入,EIF,7,1,2.33 ,1,,否,数据安全
220,,,,,使用机构数据导出,EQ,4,1,1.33 ,1,,否,数据安全
221,,,,,特征密文数据安全交换（批量）,EIF,7,1,2.33 ,1,,否,数据安全
222,,,,,特征密文数据安全交换（实时）,EIF,7,1,2.33 ,1,,否,数据安全
223,,,,,流程执行日志记录,EI,4,1,1.33 ,1,,否,数据安全
224,,,,,流程执行日志导出,EO,5,1,1.67 ,1,,否,数据安全
